"","treee","locality","file","x229E_brown","NL63_brown","HKU1_brown","OC43_brown","CoV2_brown","CoV2_star","CoV2_lambda","CoV2_OU"
"18","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jul.csv",3.703703704,5,15.38461538,9.677419355,9.17961190124889,8.44143389662031,9.17892428781565,9.17824506650327
"19","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jun.csv",3.703703704,5,7.692307692,35.48387097,14.5255597423913,12.9699700275652,13.9116156162575,13.6062162955926
"20","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/mar.csv",3.703703704,5,11.53846154,11.29032258,8.52052309215572,7.88312145057323,8.52028978562143,8.52014158812131
"21","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/may.csv",3.703703704,5,11.53846154,9.677419355,8.04451413092266,7.4798956633383,8.04436922784371,8.04407598104202
"22","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/nov.csv",11.11111111,10,3.846153846,4.838709677,6.88825323365182,7.44899412114479,6.88844089956678,6.88860919419916
"23","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/oct.csv",22.22222222,20,3.846153846,6.451612903,11.6893907724454,13.1299984327877,11.6898963996406,11.6902675056875
"24","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_RelTime.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/sep.csv",11.11111111,15,11.53846154,8.064516129,11.1348392593197,11.4285223430187,11.2959418283703,11.3546805655113
"25","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/apr.csv",22.22222222,5,7.692307692,4.838709677,9.28910167902075,9.93830748699958,9.92974165514853,9.58047468678545
"26","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/aug.csv",3.703703704,10,3.846153846,3.225806452,4.90086007698973,5.19391578650808,5.15514856451206,5.03238593393971
"27","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/dec.csv",3.703703704,10,7.692307692,1.612903226,5.55785870905972,5.75222830318502,5.75137643983234,5.64509410746475
"28","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/feb.csv",3.703703704,5,11.53846154,3.225806452,6.13480743607626,5.86699301108088,5.86892566051972,6.01461072114635
"29","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/time_trees/IQTREE_time_tree_non_recombinant.newick","beijing","/Users/hayley/Documents/townsend/sum_23/seasonality/white-noise/data/beijing/jan.csv",7.407407407,5,3.846153846,1.612903226,4.15956743578957,4.46661526767477,4.18150746360846,4.29737442516312
